speaker,label,vowel,NC,voicing,nas_prop
S20,z__E_nt_a___N_B09/s,e,nt,voiceless,0.5913851899145988
S20,z__O_nd_@___N_B24/s,o,nd,voiced,0.30509773425102227
S20,z__O_nt_@___N_B07/s,o,nt,voiceless,0.24099036767583215
S20,z__a_nd_@___N_B10/s,a,nd,voiced,0.47732901039480014
S20,z__a_nt_@___N_B12/s,a,nt,voiceless,0.7463794457816346
S21,b__U_nd_@___N_B22/s,u,nd,voiced,0.49078549687139256
S21,b__U_nt_@___N_B23/s,u,nt,voiceless,0.4814907722027419
S21,b__a_nd_@___N_B07/s,a,nd,voiced,0.36845457086819744
S21,b__a_nt_@___N_B24/s,a,nt,voiceless,0.49846315200541574
S21,f__I_nd_@___N_B10/s,i,nd,voiced,0.83411905971992
S21,f__I_nt_@___N_B22/s,i,nt,voiceless,0.8261612741127923
S21,l__I_nd_@___N_B08/s,i,nd,voiced,0.13576063547102407
S21,p__E_nt_____N_B22/s,e,nt,voiceless,0.43868984938093847
S21,p__a_nd_a___N_B23/s,a,nd,voiced,0.14658566228551012
S21,p__a_nt_6___N_B10/s,a,nt,voiceless,0.44520986235315013
